name,price,review_count,alias,Phone1,city,country,state,address1,zip_code,latitude,longitude,image_url,rating
Dukes 92,2.0,66,pubs,1,Manchester,GB,XGM,18 Castle Street,M3 4LZ,53.47413749,-2.25522461111,https://s3-media2.fl.yelpcdn.com/bphoto/8Bs_s16VhgiNplMr7VXyBQ/o.jpg,4.0
Falafel,1.0,21,falafel,1,Manchester,GB,XGM,Unit 14 Ifco Centre,M14 5TG,53.458512,-2.225431,https://s3-media1.fl.yelpcdn.com/bphoto/jW84iOTCTXA-kGIF0KuhIw/o.jpg,4.5
Turtle Bay,2.0,47,caribbean,1,Manchester,GB,XGM,33-35 Oxford Street,M1 4BH,53.4766054207,-2.24276390479,https://s3-media4.fl.yelpcdn.com/bphoto/ZiXMf_FS3Hx4OzWV59qgGQ/o.jpg,4.0
Abel Heywood,2.0,26,hotels,1,Manchester,GB,XGM,38 Turner Street,M4 1DZ,53.4836013453,-2.2373509177,https://s3-media3.fl.yelpcdn.com/bphoto/JwizC2FaoXshg7cMCg6GYA/o.jpg,4.0
The French by Simon Rogan,4.0,9,british,1,Manchester,GB,XGM,The Midland Hotel,M60 2DS,53.4774984798,-2.24490835582,https://s3-media4.fl.yelpcdn.com/bphoto/CYhg2UGPimHamHLlEDkCJQ/o.jpg,5.0
The Koffee Pot,1.0,26,breakfast_brunch,1,Manchester,GB,XGM,84-86 Oldham Street,M4 1LN,53.4829547135,-2.23428984332,https://s3-media4.fl.yelpcdn.com/bphoto/U17PTKB2Q4Q2rLxA4cnujQ/o.jpg,4.0
Wagamama,2.0,30,japanese,1,Manchester,GB,XGM,1 Spinningfields Square,M3 3AP,53.4795904601,-2.24936407213,https://s3-media1.fl.yelpcdn.com/bphoto/Q_zX5S2zl2z7RKSx7iB7dg/o.jpg,4.0
Ginger's Comfort Emporium,1.0,13,icecream,1,Manchester,GB,XGM,1st Floor,M4 1PW,53.4825688732,-2.23578847777,https://s3-media4.fl.yelpcdn.com/bphoto/vuLyeFKj6-rkaAFKN_TGXg/o.jpg,4.5
Krispy Kreme,2.0,20,donuts,1,Manchester,GB,XGM,Unit B1 City Tower,M1 4BD,53.48031,-2.23775,https://s3-media4.fl.yelpcdn.com/bphoto/fcyO9kPsVO43YxbMv7cj2Q/o.jpg,4.0
The Crown and Kettle,1.0,16,pubs,1,Manchester,GB,XGM,2 Oldham Road,M4 5FE,53.484764,-2.2324489,https://s3-media3.fl.yelpcdn.com/bphoto/6K-OEkopCnW86XsKvuH0yA/o.jpg,4.5
Salvi's Mozzarella Bar,2.0,14,delicatessen,1,Manchester,GB,XGM,Unit 22b,M4 3TR,53.4847008138,-2.24318415741,https://s3-media3.fl.yelpcdn.com/bphoto/46h2nDOe2Or1YEvXok2uQQ/o.jpg,4.5
La Viña,2.0,29,spanish,1,Manchester,GB,XGM,105-107 Deansgate,M3 2BQ,53.481002,-2.247535,https://s3-media3.fl.yelpcdn.com/bphoto/4zLbR6Fvqtrk9c5K5cBN2w/o.jpg,4.0
Bakerie,2.0,27,wine_bars,1,Manchester,GB,XGM,45 Lever Street,M1 1FN,53.4828897,-2.2336536,https://s3-media2.fl.yelpcdn.com/bphoto/2Hf4vB4EQT6TfaCNosCTVg/o.jpg,4.0
Don Marco,2.0,21,italian,1,Manchester,GB,XGM,1 Campfield Avenue Arcade,M3 4FN,53.4757809532,-2.25131750107,https://s3-media1.fl.yelpcdn.com/bphoto/_l87JDr9zOOEPA4S-Zqbaw/o.jpg,4.0
The Old Wellington - Nicholson's,2.0,33,gastropubs,1,Manchester,GB,XGM,4 Cathedral Gates,M3 1SW,53.4846911555,-2.24399350586,https://s3-media3.fl.yelpcdn.com/bphoto/_fMDnOeEsCPop-np-7eikg/o.jpg,4.0
English Lounge,2.0,40,pubs,1,Manchester,GB,XGM,64-66 High Street,M4 1EA,53.4837408,-2.2385013,https://s3-media3.fl.yelpcdn.com/bphoto/dIHF0CDeYTqz2qSkq3twOw/o.jpg,4.0
Ibérica,3.0,20,spanish,1,Manchester,GB,XGM,14-15 The Avenue,M3 3HF,53.48008,-2.24935,https://s3-media2.fl.yelpcdn.com/bphoto/GZK3qNyEqCcjQsET4dG9QA/o.jpg,4.5
This & That,1.0,32,indpak,1,Manchester,GB,XGM,3 Soap Street,M4 1EW,53.4846242,-2.2381005,https://s3-media2.fl.yelpcdn.com/bphoto/WdV59HtsHvaQUxZ_YU5hXQ/o.jpg,4.0
Richmond Tea Rooms,2.0,32,tea,1,Manchester,GB,XGM,15 Richmond Street,M1 3HZ,53.477624,-2.236825,https://s3-media4.fl.yelpcdn.com/bphoto/8laYs_LVFktoNLYjkOVj6g/o.jpg,4.0
Apotheca,2.0,30,lounges,1,Manchester,GB,XGM,17 Thomas Street,M4 1FS,53.484582,-2.237684,https://s3-media1.fl.yelpcdn.com/bphoto/NPoBSU3CEf1PmvrNlaQSIg/o.jpg,4.0
